2025-12-16T23:04:55.8691010Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:05:55.3641640Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:26:46.8030810Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:28:40.4669110Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:45:13.0915920Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:46:00.8932520Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:47:44.4356490Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:56:52.7298300Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-16T23:58:16.3280610Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-17T00:12:52.2333230Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-17T00:14:31.1814400Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-17T00:15:26.0574520Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-17T00:19:34.0158950Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-17T00:19:42.3693920Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-17T00:20:29.8490550Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
2025-12-17T00:20:42.8463030Z [logger] Debug logging enabled. File='C:\Users\adalgisa rabino\Desktop\lidartouch_log.txt', Console=False
